ФИО,Год,Специальность,Средний балл ЦЭ/ЦТ,Средний балл аттестата,Средний балл при поступлении,Адрес,Телефон,Форма обучения,Математика,Физика,Химия,История,Обществознание
Хохлова Ангелина Вячеславовна,2025,Математика,61.2,6.9,34.1,"с. Вологда, пер. Клары Цеткин, д. 85 к. 849, 066929",+76482770691,Очная,56,63,42,71,74
тов. Шарапова Валерия Дмитриевна,2021,Физика,67.2,8.3,37.8,"с. Мурманск, пер. Челюскинцев, д. 34, 919702",8 096 688 2281,Заочная,95,86,64,48,43
Егоров Сильвестр Ануфриевич,2022,История Беларуси,68.0,7.1,37.6,"д. Барнаул, пр. Нагорный, д. 94, 124702",8 (974) 083-4370,Вечерняя,73,50,80,95,42
Фёкла Эльдаровна Лебедева,2023,Математика,59.0,9.4,34.2,"к. Можайск, ш. Смирнова, д. 5 стр. 4/5, 646751",8 (530) 582-7483,Очная,68,48,42,64,73
Федосеев Платон Аверьянович,2022,Биология,57.8,8.9,33.4,"ст. Алапаевск, ул. Кооперативная, д. 788 к. 21, 276163",8 022 468 2191,Очная,48,54,79,64,44
Дарья Сергеевна Мухина,2023,Биология,73.2,7.0,40.1,"ст. Дубна, наб. Путейская, д. 40 стр. 3, 596084",+7 (762) 110-03-39,Очная,73,63,99,54,77
Антонина Матвеевна Самойлова,2025,Физика,59.6,9.8,34.7,"к. Всеволожск, пр. Гончарова, д. 104 стр. 4, 905165",82452375521,Заочная,44,87,65,57,45
Максимов Харлампий Андреевич,2021,История Беларуси,60.4,9.4,34.9,"клх Бирск, пр. Логовой, д. 2/6, 091491",+7 853 771 18 66,Заочная,87,52,67,44,52
Анастасия Ефимовна Баранова,2023,Математика,78.4,9.3,43.8,"д. Асбест, ш. 8 Марта, д. 5, 984211",8 (472) 106-5277,Очная,79,84,71,68,90
Полина Робертовна Селиверстова,2022,История Беларуси,78.4,9.5,44.0,"к. Цимлянск, ш. Пушкинское, д. 52, 059836",84681199510,Очная,95,79,73,79,66
Митофан Харламович Самсонов,2022,Химия,58.6,8.6,33.6,"клх Туруханск, ул. Портовая, д. 47, 289014",8 479 561 0144,Заочная,72,45,63,58,55
Авдеев Серафим Феофанович,2021,Биология,87.0,7.3,47.2,"п. Камышин, пер. Культуры, д. 60 к. 6/8, 683355",+7 754 943 41 22,Очная,72,98,98,87,80
Изот Борисович Пахомов,2025,Математика,79.2,8.5,43.8,"клх Ребриха, наб. Добролюбова, д. 635, 368068",+7 919 621 99 31,Заочная,84,64,92,81,75
Виктор Венедиктович Михайлов,2023,История Беларуси,69.6,9.8,39.7,"к. Курган, алл. Бригадная, д. 7/5, 327722",+7 (363) 288-5248,Вечерняя,77,99,46,44,82
Уваров Мстислав Харитонович,2022,Физика,79.8,6.5,43.2,"ст. Оренбург, пер. Уральский, д. 2 к. 46, 340060",+7 (948) 961-1467,Очная,96,90,70,62,81
Пелагея Богдановна Петухова,2023,Физика,78.2,6.0,42.1,"д. Мичуринск, пер. Ставропольский, д. 28, 648652",+7 (062) 400-64-67,Очная,82,92,69,78,70
Владимирова Анастасия Борисовна,2023,Химия,53.0,6.0,29.5,"клх Кострома, пер. Зеленый, д. 42, 171652",8 086 227 1683,Вечерняя,41,53,52,68,51
Майя Олеговна Кулагина,2021,Химия,72.4,8.2,40.3,"клх Касимов, ул. 50 лет ВЛКСМ, д. 5/6, 302716",+7 (499) 415-5161,Заочная,71,52,85,66,88
Марков Будимир Викторович,2021,Физика,76.8,9.3,43.0,"ст. Усть-Баргузин, алл. Осипенко, д. 4 к. 1/2, 863963",86947636878,Очная,79,70,73,99,63
Нинель Александровна Корнилова,2025,История Беларуси,61.0,8.2,34.6,"д. Кострома, наб. Никитина, д. 866, 438810",8 (721) 609-20-97,Очная,87,45,58,69,46
Виктория Максимовна Красильникова,2022,Математика,72.8,9.7,41.2,"г. Белорецк, пр. Кавказский, д. 3, 663970",+70288261083,Заочная,71,73,67,99,54
Галактион Федотович Андреев,2022,Физика,60.4,9.1,34.8,"п. Арзамас, пер. Репина, д. 1, 113131",+79755292945,Вечерняя,68,61,43,59,71
Самсонов Стоян Жанович,2021,Химия,55.4,8.8,32.1,"п. Ребриха, ш. Пролетарское, д. 707 к. 709, 049640",8 (078) 284-08-11,Очная,43,66,56,51,61
Наина Робертовна Дроздова,2023,Математика,70.8,6.2,38.5,"с. Ижевск, алл. Маяковского, д. 39 стр. 8, 184682",8 (187) 534-24-58,Вечерняя,93,40,61,65,95
Парфен Федосеевич Лыткин,2025,Математика,69.4,9.0,39.2,"к. Кунгур, пер. Больничный, д. 8/4, 741232",+79890645302,Вечерняя,89,53,86,68,51
Крылов Изяслав Артемьевич,2022,Физика,66.0,6.1,36.0,"клх Москва, МГУ, пр. Октябрьский, д. 8 к. 48, 192933",+7 (294) 013-45-87,Очная,74,91,51,46,68
Регина Игоревна Михайлова,2025,Математика,69.2,7.0,38.1,"к. Жигулевск, пер. Чкалова, д. 1, 629439",8 (824) 226-6524,Очная,45,86,54,71,90
Кирилл Витальевич Горбунов,2025,Химия,71.6,10.0,40.8,"ст. Мценск, ш. Станиславского, д. 9/3 к. 76, 146156",8 423 734 1456,Вечерняя,62,65,73,85,73
Юрий Тимурович Мартынов,2021,Математика,68.0,8.1,38.0,"п. Диксон, алл. Ульяновская, д. 16, 442109",+7 242 823 8282,Заочная,56,74,52,80,78
Потапова Олимпиада Геннадиевна,2023,Химия,69.6,6.3,37.9,"с. Нязепетровск, алл. Угловая, д. 5 к. 1/9, 019410",+73742715382,Очная,68,68,50,91,71
Носова Майя Семеновна,2025,Математика,57.8,9.5,33.6,"г. Гудермес, ш. Мелиоративное, д. 431 стр. 9, 249571",8 (247) 454-2778,Очная,53,59,61,50,66
Прасковья Павловна Кулакова,2021,История Беларуси,74.6,9.6,42.1,"п. Тверь, наб. Кирова, д. 36, 108963",+7 (520) 312-98-29,Очная,83,95,67,68,60
Кабанов Ярополк Тарасович,2024,Физика,67.2,7.1,37.2,"к. Камышин, пер. Кедровый, д. 66, 452100",+7 519 031 35 11,Очная,76,98,59,45,58
Элеонора Антоновна Турова,2021,Химия,75.2,8.9,42.1,"п. Нарым, бул. Энгельса, д. 226 стр. 6/6, 756510",+7 (011) 209-19-88,Вечерняя,42,98,40,97,99
Леон Исидорович Муравьев,2021,Химия,72.4,7.5,40.0,"ст. Нефтеюганск, ш. Лунное, д. 599 к. 2/7, 381641",+7 485 620 21 33,Вечерняя,73,74,88,64,63
Горбачев Боян Антонович,2021,Химия,61.0,6.6,33.8,"к. Крымск, пер. Бригадный, д. 761, 756425",+7 722 275 9734,Очная,54,83,55,66,47
тов. Васильева Нинель Кузьминична,2022,Математика,65.4,9.1,37.2,"к. Люберцы, пер. Песочный, д. 8/1, 087730",8 802 258 0540,Вечерняя,64,56,68,92,47
Пелагея Ивановна Лихачева,2025,Физика,70.6,9.2,39.9,"с. Сальск, алл. Серафимовича, д. 113, 801838",+7 546 486 2378,Вечерняя,85,89,91,46,42
Фомин Адриан Геннадиевич,2022,Физика,86.8,8.5,47.6,"ст. Усть-Калманка, ш. Парижской Коммуны, д. 7 к. 71, 557126",+7 749 091 7803,Вечерняя,83,92,63,99,97
Агафья Кузьминична Баранова,2024,История Беларуси,65.0,8.4,36.7,"г. Туруханск, пр. Лермонтова, д. 6 к. 3/3, 956941",+7 470 876 0536,Очная,85,54,64,69,53
Мирон Ефстафьевич Евдокимов,2022,Математика,68.4,6.9,37.7,"клх Усть-Джегута, пер. Достоевского, д. 3/8, 217488",89554737743,Заочная,83,59,75,48,77
Вероника Вадимовна Блохина,2022,Биология,87.4,8.4,47.9,"ст. Домодедово, пр. Бригадный, д. 39 к. 544, 770163",8 172 837 08 38,Заочная,99,61,93,92,92
Ульяна Семеновна Лукина,2021,Биология,50.4,7.9,29.2,"д. Ревда (Сверд.), пер. Гвардейский, д. 1 стр. 1, 548494",+7 072 763 93 55,Очная,47,50,52,56,47
Кузьмина Элеонора Геннадиевна,2021,Биология,73.4,8.9,41.2,"к. Брянск, бул. Энергетический, д. 33, 447760",+7 157 244 3612,Заочная,69,57,85,86,70
Юлиан Антипович Смирнов,2022,Физика,73.8,9.1,41.4,"ст. Братск, пр. Металлургов, д. 3/8, 215126",88029347497,Очная,50,84,64,72,99
Жукова Зинаида Владиславовна,2022,Биология,62.2,6.6,34.4,"г. Ижевск, наб. Клары Цеткин, д. 68 стр. 9/7, 238701",+7 (636) 400-0011,Очная,47,50,61,90,63
Пестов Семен Геннадиевич,2025,Математика,71.4,8.0,39.7,"п. Вытегра, пр. Студенческий, д. 8 стр. 10, 579902",8 639 806 55 44,Заочная,51,96,85,71,54
Бажен Евстигнеевич Логинов,2023,Математика,61.6,9.1,35.4,"г. Катайск, бул. Новосельский, д. 3/1, 655966",8 743 844 1819,Вечерняя,61,67,59,72,49
Фаина Филипповна Алексеева,2024,Математика,74.6,6.4,40.5,"клх Нерчинск, алл. Тельмана, д. 66 стр. 200, 976347",8 455 849 18 75,Очная,89,99,72,41,72
Шубина Ия Мироновна,2025,Математика,67.2,7.4,37.3,"п. Азов (Рост.), наб. Черемушки, д. 6/9, 710149",81188574088,Заочная,52,69,72,52,91
Иларион Иосифович Устинов,2022,Физика,67.8,8.8,38.3,"с. Геленджик, наб. Победы, д. 6 стр. 8/6, 624859",+7 (324) 828-17-09,Вечерняя,78,41,77,78,65
Лукин Евстафий Исидорович,2025,Химия,78.2,8.7,43.4,"п. Хужир, пр. Черемуховый, д. 2 стр. 250, 306481",86216247364,Заочная,89,54,73,81,94
Елизавета Натановна Воронова,2023,Химия,62.8,8.4,35.6,"г. Дивногорск, алл. Беляева, д. 780 стр. 2/6, 458276",8 (261) 944-6875,Вечерняя,79,50,42,98,45
тов. Крылова Жанна Ильинична,2024,Математика,69.4,8.8,39.1,"п. Учалы, ул. Спортивная, д. 6/1, 805577",8 (994) 888-7978,Заочная,48,78,70,71,80
Агафья Кузьминична Агафонова,2022,Химия,61.8,7.4,34.6,"п. Усть-Ишим, алл. Колхозная, д. 9/4 к. 169, 039669",+7 794 742 08 60,Вечерняя,47,47,89,67,59
Лапин Адриан Анатольевич,2023,Математика,61.6,8.2,34.9,"д. Рязань, бул. Металлистов, д. 2, 367394",85442617448,Очная,98,46,50,59,55
Антонина Ивановна Бурова,2022,Химия,69.0,6.7,37.8,"г. Темрюк, алл. Локомотивная, д. 367, 349459",8 (695) 018-66-57,Заочная,97,61,65,42,80
Капустина Агафья Архиповна,2022,Биология,60.8,7.0,33.9,"к. Бавлы, ул. Мелиораторов, д. 2, 367932",+7 (395) 826-20-69,Очная,53,50,57,93,51
Герасимов Матвей Тихонович,2025,Химия,77.4,7.3,42.4,"п. Махачкала, бул. Нагорный, д. 47, 716994",+7 227 004 0856,Заочная,52,64,84,90,97
Антонина Кузьминична Шарапова,2022,Физика,71.8,9.2,40.5,"ст. Солнечногорск, пр. Кошевого, д. 2, 507283",8 004 755 2406,Очная,85,75,84,47,68
Иванна Александровна Ковалева,2024,История Беларуси,79.0,6.1,42.6,"с. Мураши, ш. Просторное, д. 6/8, 035663",83770610964,Очная,94,71,90,83,57
Раиса Артемовна Бирюкова,2024,Математика,72.2,9.9,41.1,"г. Костомукша, алл. Звездная, д. 4, 901651",+7 252 512 5842,Вечерняя,58,61,76,71,95
Захарова Екатерина Эльдаровна,2025,Физика,64.4,6.9,35.7,"г. Калевала, бул. Автомобилистов, д. 4 стр. 7/1, 556891",+7 419 611 3360,Вечерняя,42,67,49,90,74
Рыбакова Ульяна Борисовна,2022,Биология,63.2,6.7,35.0,"ст. Валаам, ул. Баумана, д. 78 к. 4, 080939",8 (265) 001-6282,Очная,93,54,72,46,51
Глафира Филипповна Прохорова,2023,История Беларуси,69.8,8.5,39.2,"к. Каневская, бул. Краснофлотский, д. 479, 982408",+7 404 103 30 46,Вечерняя,60,70,97,63,59
Котова Майя Семеновна,2021,Физика,74.2,8.2,41.2,"клх Калевала, бул. Братский, д. 512, 303498",+7 (664) 602-64-98,Вечерняя,67,83,59,99,63
Полина Юльевна Макарова,2021,История Беларуси,82.6,8.9,45.8,"ст. Лотошино, ул. Тенистая, д. 168 стр. 93, 376736",+73295273354,Вечерняя,90,71,80,75,97
Любосмысл Феофанович Шестаков,2024,История Беларуси,63.6,7.7,35.6,"ст. Фатеж, ул. Р.Люксембург, д. 8 к. 3, 328184",8 (370) 294-0097,Заочная,75,41,54,73,75
Аникита Глебович Доронин,2021,Химия,90.2,7.4,48.8,"к. Нижнекамск, ул. Восточная, д. 8 стр. 36, 118310",+7 (513) 762-0122,Вечерняя,81,90,90,97,93
Молчанова Феврония Натановна,2021,История Беларуси,64.4,8.9,36.7,"клх Малгобек, пер. Панфилова, д. 9, 578034",+7 (897) 008-5670,Вечерняя,42,84,57,79,60
Петр Викторович Михеев,2023,История Беларуси,69.6,8.4,39.0,"клх Орехово-Зуево, алл. Полевая, д. 1 к. 927, 795419",+7 (004) 059-10-19,Очная,74,65,47,75,87
Фомичев Остап Антипович,2021,Химия,62.2,6.7,34.4,"п. Щельяюр, ш. Шаумяна, д. 937 стр. 247, 142503",+7 380 299 95 36,Заочная,81,83,53,53,41
Панов Каллистрат Бориславович,2023,Физика,75.6,9.5,42.6,"клх Чикола, ш. Культуры, д. 38 к. 914, 115161",+7 (137) 149-43-63,Вечерняя,44,77,84,80,93
Гремислав Ефимович Селиверстов,2024,Математика,75.2,8.7,42.0,"ст. Элиста, бул. Красный, д. 1/4 к. 40, 643789",+73821578871,Очная,86,53,95,78,64
Евграф Артемьевич Дмитриев,2024,Математика,68.2,9.9,39.1,"г. Улан-Удэ, наб. Сенная, д. 68, 610962",8 (087) 748-87-95,Вечерняя,78,45,56,98,64
Нонна Васильевна Сорокина,2022,Химия,55.0,9.1,32.0,"ст. Цимлянск, ул. Демьяна Бедного, д. 7 к. 6/1, 668150",8 617 812 28 59,Заочная,41,74,76,44,40
Яков Витальевич Пахомов,2023,Физика,80.4,6.9,43.7,"г. Поронайск, ул. Кубанская, д. 1, 523397",+7 (726) 270-23-69,Очная,95,75,84,62,86
Белова Оксана Болеславовна,2022,Биология,58.4,8.1,33.2,"д. Снежногорск (Мурм.), алл. Суворова, д. 25 стр. 8/7, 847407",80426564099,Вечерняя,49,42,93,53,55
Ефремова Варвара Кузьминична,2025,Биология,57.8,7.8,32.8,"с. Чикола, ул. Маяковского, д. 859, 223549",88034262494,Вечерняя,49,51,69,80,40
Самсон Борисович Кононов,2023,История Беларуси,63.2,6.7,35.0,"клх Мыс Шмидта, ул. Гафури, д. 1/6 к. 89, 816212",86121768480,Очная,47,82,51,40,96
Александров Еремей Гаврилович,2022,Биология,76.0,7.4,41.7,"к. Белореченск, алл. Привокзальная, д. 783 стр. 60, 219558",+7 443 348 4184,Вечерняя,59,67,96,82,76
Тетерина Анастасия Наумовна,2021,Математика,79.6,9.2,44.4,"к. Кажим, ш. Крайнее, д. 80, 889535",+77855419451,Очная,51,76,88,88,95
Юдин Андроник Владиславович,2025,Математика,67.0,8.2,37.6,"с. Салават, ш. Амурское, д. 2 к. 358, 939840",+7 103 264 84 92,Очная,67,86,54,45,83
Виноградов Эрнст Федотович,2024,История Беларуси,58.0,8.1,33.0,"г. Ревда (Сверд.), наб. Седова, д. 5 стр. 5, 777995",8 (654) 115-70-87,Очная,59,89,53,41,48
Исаков Измаил Бенедиктович,2025,Химия,65.2,6.9,36.1,"ст. Каргополь, наб. М.Горького, д. 6, 611151",+71970338611,Заочная,59,65,68,40,94
Раиса Ждановна Шарапова,2024,Химия,76.4,8.0,42.2,"клх Билибино, наб. Коммунальная, д. 1/2 стр. 1/3, 247081",8 (368) 504-66-90,Заочная,76,92,98,44,72
Меркушева Ия Руслановна,2023,Химия,67.2,7.9,37.6,"к. Подольск, ш. Аэродромное, д. 4/9 стр. 6, 470516",+7 695 342 60 86,Заочная,53,51,81,59,92
Ефимов Гостомысл Герасимович,2023,Математика,81.2,9.9,45.6,"д. Мокшан, пер. Кочубея, д. 1, 114616",+7 (738) 567-57-91,Очная,98,82,73,64,89
Октябрина Святославовна Красильникова,2025,История Беларуси,82.2,8.0,45.1,"ст. Охотск, алл. Кедровая, д. 700 к. 7/5, 273920",+7 (978) 018-65-33,Вечерняя,78,70,95,86,82
Гущин Аким Феликсович,2021,Биология,73.0,6.6,39.8,"п. Куртамыш, пр. Васильковый, д. 2/5 стр. 547, 117016",+7 (773) 044-59-87,Очная,83,77,59,62,84
Орехов Аверьян Адрианович,2022,Физика,82.0,9.9,46.0,"к. Балашиха, наб. Высоковольтная, д. 6, 006965",8 488 210 4189,Заочная,89,81,99,94,47
Федосеева Галина Алексеевна,2023,История Беларуси,64.0,6.9,35.4,"с. Тура, ш. Красина, д. 54 стр. 28, 089745",+7 769 760 3748,Очная,40,94,47,68,71
Виноградов Демьян Владиленович,2025,Биология,69.2,9.4,39.3,"клх Уварово, бул. Карьерный, д. 4 стр. 90, 698874",+7 210 142 47 88,Заочная,86,61,86,73,40
Фокин Евдоким Викторович,2021,Математика,70.8,7.0,38.9,"г. Мелеуз, пр. Рыбацкий, д. 4 к. 8/8, 686105",+7 065 126 2933,Вечерняя,65,82,49,69,89
Панфилов Ерофей Егорович,2025,Математика,73.0,6.1,39.6,"п. Чусовой, ш. Мусы Джалиля, д. 9/3 стр. 59, 413540",+7 (551) 209-2431,Заочная,65,47,86,79,88
Пахомов Лучезар Ефимович,2025,Биология,62.2,8.4,35.3,"п. Сухиничи, пр. Восточный, д. 7 к. 144, 217787",8 011 100 86 08,Очная,47,64,85,43,72
Василий Валентинович Лыткин,2025,Химия,71.4,8.6,40.0,"г. Усть-Баргузин, ул. Демьяна Бедного, д. 55 стр. 3/1, 975720",8 (402) 217-4946,Заочная,70,55,53,92,87
Андрей Анисимович Рыбаков,2025,Биология,61.4,7.3,34.4,"клх Коломна, пер. Микрорайон, д. 47 к. 8, 166724",+7 613 442 03 20,Заочная,65,67,41,89,45
Голубев Андрей Изотович,2022,Математика,71.0,9.1,40.0,"клх Аршан (Бурят.), пер. Привольный, д. 9 к. 44, 681018",8 (394) 340-9731,Заочная,72,80,64,87,52
Овчинникова Антонина Григорьевна,2023,Математика,59.0,8.6,33.8,"ст. Кежма, наб. Шмидта, д. 44 стр. 9/6, 924248",+79084741657,Заочная,52,70,80,50,43
Селиверст Филатович Доронин,2024,Биология,68.0,9.2,38.6,"ст. Архангельск, пр. Чехова, д. 474 к. 64, 100440",87271527590,Вечерняя,77,85,43,77,58
Сильвестр Валерианович Герасимов,2022,Химия,61.8,9.5,35.6,"к. Билибино, ул. Коммунистическая, д. 704 к. 755, 769173",+7 021 178 80 96,Вечерняя,57,52,80,62,58
Лыткин Богдан Харлампьевич,2022,История Беларуси,61.2,7.3,34.2,"клх Токсово, пер. Димитрова, д. 45, 410689",+77174204464,Вечерняя,40,63,93,46,64
Кондратий Трифонович Бобылев,2022,История Беларуси,57.6,8.8,33.2,"ст. Гагарин, алл. Клубная, д. 406, 577744",+70649021829,Очная,40,51,97,46,54
Носкова Евгения Руслановна,2025,История Беларуси,78.2,8.2,43.2,"с. Северобайкальск, бул. Инженерный, д. 316 стр. 98, 015225",82975082717,Вечерняя,99,68,64,72,88
Соболев Зосима Харитонович,2021,Физика,69.8,8.4,39.1,"п. Зеленогорск (Ленин.), пр. Плеханова, д. 952 стр. 3/3, 859004",+70430719616,Вечерняя,74,83,77,65,50
Лариса Харитоновна Коновалова,2021,История Беларуси,62.6,8.0,35.3,"д. Асбест, наб. Высоцкого, д. 99 стр. 14, 461778",8 746 199 65 48,Очная,85,53,49,41,85
Молчанов Изот Дмитриевич,2021,История Беларуси,60.0,7.9,34.0,"п. Холмогоры, пер. Серафимовича, д. 7/8, 186342",89598324464,Очная,60,65,47,87,41
Родион Вячеславович Костин,2022,Математика,68.0,6.6,37.3,"к. Гремячинск (Перм.), пр. Чернышевского, д. 2 стр. 3/9, 564710",+7 (274) 981-6992,Заочная,92,68,65,64,51
Сократ Фролович Шестаков,2025,Химия,75.0,8.4,41.7,"д. Когалым, наб. Мира, д. 885 к. 66, 167936",8 (050) 009-5332,Заочная,87,76,54,83,75
Юлия Романовна Меркушева,2025,Химия,73.6,8.9,41.2,"п. Геленджик, ш. Тополиное, д. 1/3 к. 18, 833777",8 772 752 0184,Заочная,87,62,45,85,89
Князева Валентина Валентиновна,2021,Физика,74.0,6.0,40.0,"г. Переславль-Залесский, алл. Радищева, д. 3 к. 532, 671017",8 544 028 86 79,Вечерняя,82,84,60,62,82
Фомин Милий Яковлевич,2024,Математика,79.0,8.6,43.8,"с. Бузулук, бул. Абрикосовый, д. 79 к. 1, 986355",8 (589) 924-75-43,Вечерняя,86,92,99,54,64
Одинцова Иванна Леонидовна,2024,Физика,59.8,7.4,33.6,"д. Магас, бул. Новоселов, д. 1 к. 4/8, 418677",+7 907 809 69 17,Очная,90,54,43,60,52
Регина Робертовна Владимирова,2024,Физика,69.6,7.1,38.3,"п. Волгодонск, ул. Техническая, д. 4 к. 6, 073973",8 035 239 7555,Очная,73,53,43,87,92
Вышеслав Ефимьевич Горбунов,2023,Биология,72.2,8.3,40.2,"с. Сургут (Хант.), ш. Петровское, д. 664, 046465",8 (979) 355-7743,Очная,66,68,86,67,74
Кулагин Самуил Борисович,2022,Математика,64.6,7.1,35.8,"к. Белый Яр (Томск.), наб. Советов, д. 893, 420251",8 099 763 55 22,Заочная,81,75,69,57,41
Сорокин Юрий Артёмович,2022,Биология,58.2,6.5,32.4,"с. Якша, наб. Крымская, д. 485, 872527",8 (245) 213-53-45,Очная,43,65,64,69,50
Киселева Марфа Ильинична,2021,Химия,66.4,8.8,37.6,"д. Поронайск, наб. Тукая, д. 4/1 к. 613, 875376",+7 268 948 3785,Вечерняя,83,49,78,52,70
Творимир Антонович Кириллов,2024,Биология,88.0,9.9,49.0,"ст. Одинцово, бул. Прибрежный, д. 97, 016848",8 (062) 868-7585,Вечерняя,95,88,81,81,95
Анисим Ильич Власов,2024,Физика,63.0,7.5,35.2,"г. Крымск, пр. Тракторный, д. 494 стр. 9, 463746",8 091 232 6736,Вечерняя,43,93,46,93,40
Владимир Игнатьевич Кудряшов,2022,Математика,80.2,8.4,44.3,"с. Волгодонск, ш. Гайдара, д. 3, 747230",+7 (329) 672-92-25,Вечерняя,84,81,86,98,52
Самойлова Анжелика Владимировна,2021,Химия,65.8,9.2,37.5,"п. Курск, ул. Тургенева, д. 2, 817404",+7 894 725 9868,Очная,93,60,61,67,48
Осип Бориславович Бобров,2022,Биология,71.8,9.4,40.6,"ст. Асино, бул. Угольный, д. 6, 792605",8 (312) 050-48-26,Очная,54,49,63,97,96
Артемий Гавриилович Некрасов,2021,Математика,63.6,7.0,35.3,"клх Снежинск, бул. Каштановый, д. 28 стр. 6/8, 710251",+7 858 875 45 60,Очная,47,63,55,88,65
Маркова Алевтина Тимуровна,2022,История Беларуси,65.6,7.7,36.6,"д. Батайск, ул. 50 лет ВЛКСМ, д. 6/3 к. 6, 195181",+74524860060,Очная,43,89,63,58,75
Евдокимов Данила Аксёнович,2023,Химия,60.6,6.6,33.6,"г. Сортавала, наб. Транспортная, д. 3 к. 1, 616641",+7 920 414 92 14,Заочная,49,64,57,58,75
Ермолай Фомич Горбачев,2023,История Беларуси,80.2,8.9,44.6,"клх Суздаль, пер. Волжский, д. 9/7 стр. 224, 026511",+73761468132,Вечерняя,94,89,44,86,88
Титова Нина Робертовна,2025,Математика,71.0,6.7,38.8,"к. Осташков, пр. Тюленина, д. 6/8, 701283",+7 (511) 848-67-34,Заочная,73,72,94,60,56
Комаров Будимир Виленович,2021,Физика,63.4,8.2,35.8,"к. Мокшан, наб. Ореховая, д. 9, 375141",+7 240 102 9863,Вечерняя,76,54,74,67,46
Мамонтова Кира Тимофеевна,2025,Химия,59.6,8.0,33.8,"ст. Стрежевой, бул. Советский, д. 9 к. 4/7, 870937",8 (445) 482-3316,Заочная,49,48,53,52,96
Баранова Юлия Геннадиевна,2022,Математика,55.6,7.6,31.6,"с. Сковородино, алл. Амурская, д. 8, 449158",8 123 148 79 68,Очная,41,74,46,60,57
Ермолай Терентьевич Брагин,2024,Химия,77.8,10.0,43.9,"с. Усть-Баргузин, ш. Пушкина, д. 935 к. 7/2, 331346",8 591 583 4879,Заочная,93,78,80,88,50
Людмила Рудольфовна Романова,2022,Физика,70.0,7.3,38.6,"ст. Лабинск, ш. Сиреневое, д. 10 к. 1/1, 313174",+7 345 214 5576,Очная,99,85,58,43,65
Харлампий Ильич Терентьев,2021,Физика,78.6,6.3,42.4,"к. Кызыл, пр. Ключевой, д. 2/7 стр. 91, 150594",83235228010,Заочная,71,78,84,85,75
Святослав Димитриевич Кудрявцев,2025,Физика,56.8,7.5,32.2,"п. Тимашевск, бул. Труда, д. 1 стр. 2/2, 437858",+7 (585) 182-8450,Заочная,72,75,42,48,47
Елисеев Софрон Харламович,2022,Математика,59.6,8.1,33.8,"г. Кинешма, пр. Тюленина, д. 6/7 стр. 5/7, 839035",8 253 393 6465,Очная,45,80,78,43,52
Анастасия Рубеновна Чернова,2025,Биология,66.6,8.6,37.6,"клх Звенигород, алл. Индустриальная, д. 7 к. 8, 741065",82253285329,Заочная,41,99,44,83,66
Игнатий Трофимович Титов,2025,Физика,60.4,8.1,34.2,"с. Курильск, пер. Малиновый, д. 2/2, 514910",8 135 453 3677,Вечерняя,47,77,47,89,42
Гурьева Евпраксия Наумовна,2021,Математика,57.2,10.0,33.6,"к. Чермоз, пер. Урожайный, д. 19, 202327",+71301529565,Очная,97,42,61,45,41
Федорова Валерия Феликсовна,2025,История Беларуси,64.2,7.8,36.0,"г. Сургут (Хант.), бул. Докучаева, д. 8/1 к. 2/2, 447409",8 (879) 226-8402,Заочная,41,77,56,74,73
Зинаида Юрьевна Соколова,2024,Химия,75.8,9.8,42.8,"д. Томск, наб. Тенистая, д. 41 стр. 3/2, 701098",8 627 535 2399,Очная,91,47,61,83,97
Моисей Денисович Жданов,2021,Физика,74.4,6.7,40.6,"п. Воскресенск, бул. Владимирский, д. 5, 563774",8 051 683 29 42,Вечерняя,52,68,70,86,96
Кузнецов Мартын Викторович,2021,Физика,79.0,6.0,42.5,"ст. Малоярославец, алл. Халтурина, д. 85, 977794",+7 809 984 55 77,Очная,81,69,96,94,55
Нинель Константиновна Белова,2021,Химия,50.8,9.7,30.2,"к. Сорочинск, наб. Лесная, д. 9, 428005",84513065467,Очная,55,51,47,59,42
Анна Мироновна Богданова,2024,Математика,76.4,6.1,41.2,"с. Елатьма, бул. Речной, д. 99, 549451",+7 227 835 64 30,Заочная,84,62,67,90,79
Силин Ратибор Арсеньевич,2025,Биология,71.2,9.4,40.3,"клх Рославль, пер. Жуковского, д. 3 стр. 1, 598827",+7 (328) 196-54-42,Очная,59,79,95,83,40
Сысоева Евдокия Оскаровна,2021,Математика,56.4,9.2,32.8,"п. Пушкино (Моск.), бул. Космический, д. 326, 194753",8 114 789 14 73,Вечерняя,60,59,45,61,57
Ираида Романовна Рогова,2023,История Беларуси,68.2,9.1,38.6,"клх Чегем, наб. Комсомольская, д. 7, 906035",+7 (682) 880-8425,Очная,71,72,92,55,51
Никифоров Любим Терентьевич,2024,Физика,67.0,7.1,37.0,"к. Морозовск, алл. Кольцевая, д. 97 стр. 247, 569714",+7 (948) 368-24-88,Заочная,73,53,75,72,62
Максим Ааронович Крылов,2024,Физика,57.6,7.0,32.3,"клх Горячинск, наб. Олимпийская, д. 1/4 к. 270, 270050",8 (925) 317-8962,Очная,41,80,60,41,66
Ширяев Леонид Федосеевич,2025,История Беларуси,57.0,9.8,33.4,"п. Рыльск, ул. Байкальская, д. 5, 024603",83157579188,Заочная,40,50,42,91,62
